customer_state,seller_id,orders,late_orders,late_pct
RJ,8160255418d5aaa7dbdc9f4c64ebda44,61,15,24.59016393442623
RJ,7ddcbb64b5bc1ef36ca8c151f6ec77df,50,12,24.0
RJ,1f50f920176fa81dab994f9023523100,220,51,23.18181818181818
RJ,1835b56ce799e6a4dc4eddc053f04066,66,15,22.727272727272727
RJ,8b321bb669392f5163d04c59e235e066,139,31,22.302158273381295
RJ,391fc6631aebcf3004804e51b40bcf1e,59,13,22.033898305084744
RJ,218d46b86c1881d022bce9c68a7d4b15,54,11,20.37037037037037
RJ,7d13fca15225358621be4086e1eb0964,94,19,20.212765957446805
SP,06a2c3af7b3aee5d69171b0e14f0ee87,124,25,20.161290322580644
RJ,1900267e848ceeba8fa32d80c1a5f5a8,71,14,19.718309859154928
RJ,4869f7a5dfa277a7dca6462dcf3b52b2,201,38,18.90547263681592
RJ,fa1c13f2614d7b5c4749cbc52fecda94,77,14,18.181818181818183
SP,c31eff8334d6b3047ed34bebd4d62c36,61,11,18.0327868852459
BA,ea8482cd71df3c1969d7b9473ff13abc,57,10,17.543859649122805
RJ,da8622b14eb17ae2831f4ac5b9dab84a,168,29,17.261904761904763
RJ,955fee9216a65b617aa5c0531780ce60,109,18,16.51376146788991
RJ,ea8482cd71df3c1969d7b9473ff13abc,86,14,16.27906976744186
RJ,4a3ca9315b744ce9f8e9374361493884,268,43,16.044776119402986
RJ,7c67e1448b00f6e969d365cea6b010ab,175,27,15.428571428571427
SP,8b28d096634035667e8263d57ba3368c,63,9,14.285714285714285
CE,cc419e0650a3c5ba77189a1882b7556a,50,7,14.000000000000002
RJ,7e93a43ef30c4f03f38b393420bc753a,50,7,14.000000000000002
BA,7c67e1448b00f6e969d365cea6b010ab,51,7,13.725490196078432
MG,855668e0971d4dfd7bef1b6a4133b41b,51,7,13.725490196078432
RS,cca3071e3e9bb7d12640c9fbe2301306,51,7,13.725490196078432
RS,4a3ca9315b744ce9f8e9374361493884,89,12,13.48314606741573
BA,cc419e0650a3c5ba77189a1882b7556a,60,8,13.333333333333334
BA,1f50f920176fa81dab994f9023523100,53,7,13.20754716981132
SC,1025f0e2d44d7041d6cf58b6550e0bfa,53,7,13.20754716981132
RJ,1025f0e2d44d7041d6cf58b6550e0bfa,99,13,13.131313131313133
SP,620c87c171fb2a6dd6e8bb4dec959fc6,247,31,12.550607287449392
RJ,128639473a139ac0f3e5f5ade55873a5,88,11,12.5
RJ,53e4c6e0f4312d4d2107a8c9cddf45cd,57,7,12.280701754385964
SP,1ca7077d890b907f89be8c954a02686a,59,7,11.864406779661017
RJ,6560211a19b47992c3666cc44a7e94c0,187,22,11.76470588235294
SP,ef0ace09169ac090589d85746e3e036f,51,6,11.76470588235294
SP,88460e8ebdecbfecb5f9601833981930,117,13,11.11111111111111
SC,1f50f920176fa81dab994f9023523100,64,7,10.9375
SC,ea8482cd71df3c1969d7b9473ff13abc,55,6,10.909090909090908
SC,cc419e0650a3c5ba77189a1882b7556a,65,7,10.76923076923077
RJ,3d871de0142ce09b7081e2b9d1733cb1,169,18,10.650887573964498
RJ,7a67c85e85bb2ce8582c35f2203ad736,151,16,10.596026490066226
SP,213b25e6f54661939f11710a6fddb871,57,6,10.526315789473683
RJ,d2374cbcbb3ca4ab1086534108cc3ab7,68,7,10.294117647058822
SP,2eb70248d66e0e3ef83659f71b244378,94,9,9.574468085106384
BA,6560211a19b47992c3666cc44a7e94c0,84,8,9.523809523809524
SP,4c2b230173bb36f9b240f2b8ac11786e,116,11,9.482758620689655
SP,42b729f859728f5079499127a9c2ef37,74,7,9.45945945945946
SP,f4aba7c0bca51484c30ab7bdc34bcdd1,53,5,9.433962264150944
MG,da8622b14eb17ae2831f4ac5b9dab84a,143,13,9.090909090909092
SP,dd7ddc04e1b6c2c614352b383efe2d36,66,6,9.090909090909092
SP,8648b1e89e9b349e32d3741b30ec737e,55,5,9.090909090909092
SP,8f2ce03f928b567e3d56181ae20ae952,57,5,8.771929824561402
RS,3d871de0142ce09b7081e2b9d1733cb1,69,6,8.695652173913043
SP,7d13fca15225358621be4086e1eb0964,196,17,8.673469387755102
SP,4e922959ae960d389249c378d1c939f5,163,14,8.588957055214724
SP,c3867b4666c7d76867627c2f7fb22e21,117,10,8.547008547008547
