ticket_id,customer_id,issue_date,issue_type,resolution_date,satisfaction_score,resolution_time_hours
TICK_18201,b5f7828a9d315bba42ebb548cec35c7e,2018-06-19,payment,2018-06-20,1,25.9
TICK_33755,8dd4c93bfbebe2a77657d46ef959a7ac,2018-02-10,shipping,2018-02-12,2,63.5
TICK_82244,b567379ff604724e8cd07c7ea01239c6,2017-04-26,payment,2017-04-27,3,42.4
TICK_68717,afe44c51b2ff47d26e457d10585bf8b4,2017-09-14,product,2017-09-16,4,64.3
TICK_77831,a2a34d52a5ca3c214067d8d87f6ddf21,2018-06-07,other,2018-06-08,4,24.8
TICK_67611,e472becff3624bda2b143a3b3ba40c2f,2018-04-26,shipping,2018-04-27,4,47.4
TICK_69157,c2c6565d28436b02f51e2f1fc8371119,2017-03-22,payment,2017-03-22,4,7.2
TICK_70895,3ade1bb252ff5a9ac28b1f8738ec01b2,2017-07-31,payment,2017-08-01,3,35.9
TICK_39578,9b8e07760752cf403a944c5ef278be8f,2018-08-12,payment,2018-08-14,4,64.8
TICK_86163,e8cf020e529c13c2347d8f7cc4ba1a91,2018-03-02,payment,2018-03-02,4,9.7
TICK_73834,e68c03ed7224b85150876ad873fe7aed,2016-11-29,payment,2016-11-30,4,31.2
TICK_30480,6cffa1011064035b56965e363955f701,2018-06-18,other,2018-06-19,5,34.7
TICK_72189,1c8bd4ede09cf207df1dab28bf663747,2017-02-12,other,2017-02-16,5,106.5
TICK_67176,50a941fc51a3a9f527f340e481af250d,2018-08-24,other,2018-08-25,4,40.7
TICK_35493,3fb3c93d9edf483a148a1df3423c637a,2017-05-27,product,2017-05-29,3,64.7
TICK_34535,11fed1c811bad9120464349fe781821a,2017-07-27,shipping,2017-07-28,4,47.3
TICK_75291,bf69ac4b00984821a9dc9fa0376adf13,2018-06-13,product,2018-06-16,2,72.9
TICK_91219,11adf848a888e157c13ef9b5998eafdf,2018-05-16,payment,2018-05-16,1,2.0
TICK_33049,3ec51603a0f1720beba2958e290fa202,2016-12-25,product,2016-12-26,1,37.5
TICK_53092,6d1cbce9f904172f2aa5c4ced52814f7,2018-09-13,payment,2018-09-16,5,87.2
TICK_34874,9a80c8377644236e27f59e83862f1ae2,2018-04-14,other,2018-04-14,4,10.3
TICK_71702,750bda3d846652e304dfc5f3914dd8b3,2018-05-10,payment,2018-05-10,1,10.5
TICK_61460,2cb63adbf997f96f5cd34f2eb27b6a77,2017-04-29,payment,2017-04-29,4,16.9
TICK_55954,0c08720b120ac120b41b9a65b5ae30d5,2017-11-14,other,2017-11-14,2,15.5
TICK_89359,fd9e470681250f6e4f164ca3ea31157e,2018-05-24,payment,2018-05-28,4,117.5
TICK_68097,df7bfa162625fe00fdee8139c5e4cd31,2017-08-13,shipping,2017-08-13,4,13.4
TICK_96077,df7bfa162625fe00fdee8139c5e4cd31,2018-08-27,product,2018-08-30,4,74.1
TICK_54364,5f6afb0591f38a26989947e3617c9f91,2017-04-24,payment,2017-04-28,5,110.6
TICK_29791,b232b39a0548879364ceff434d6c3a35,2018-01-21,shipping,2018-01-22,3,29.9
TICK_84407,b232b39a0548879364ceff434d6c3a35,2017-03-02,product,2017-03-06,4,96.2
TICK_36269,f7757d711fef2aac221217bc911ccbd0,2017-12-05,shipping,2017-12-07,3,53.0
TICK_34401,82c4ae9f59304faecc7ea3ef42b253f4,2017-01-11,other,2017-01-14,3,89.9
TICK_84251,a14b17e55f117e4bf24cdd9d0e586c35,2018-02-27,shipping,2018-02-28,4,45.3
TICK_61466,7d6a15dac3171fdcfc217ffa8c09ec36,2016-10-17,payment,2016-10-17,5,9.4
TICK_84950,54e27473e15984a728b6856d46d3723e,2017-03-16,product,2017-03-21,3,121.7
TICK_23530,1ea07fa33f6aa42805c074d31c82f590,2018-01-03,product,2018-01-05,5,52.5
TICK_11811,ae2636b5230540a5c04969749d4c0b86,2016-12-27,shipping,2016-12-27,5,10.8
TICK_28023,47fd546b958abf99f25c4932e57596b0,2016-10-16,other,2016-10-16,3,12.4
TICK_35193,ec3e0f50ed5d126825023002f112c7a3,2017-02-20,other,2017-02-20,3,12.1
TICK_56251,5772febf15640624d43fb155efde3061,2017-01-01,product,2017-01-02,5,45.0
TICK_31804,fbcc6fa001bddd25a495c204f5f657a2,2018-06-21,other,2018-06-24,3,86.9
TICK_16647,8485ad7b186ad4ddf28eb66db67b2aac,2018-07-12,payment,2018-07-13,3,41.2
TICK_27965,ee6afaf3c3be813761f25c1e66b8fedd,2018-05-04,product,2018-05-04,5,6.3
TICK_32608,1214875f26abb740d1d69fe5bec29bd7,2018-03-18,product,2018-03-19,5,34.2
