relative_path,filename,size_bytes,md5,rows,n_cols,columns_preview
data\raw\brazilian_ecommerce\olist.zip,olist.zip,44717580,f2f3704ec08d55ef94fc2887bdc96472,,,
data\raw\brazilian_ecommerce\olist_customers_dataset.csv,olist_customers_dataset.csv,9033957,8a2c4244856aab4bde3b8ed81f8ca251,99441,5,"customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state"
data\raw\brazilian_ecommerce\olist_geolocation_dataset.csv,olist_geolocation_dataset.csv,61273883,6d8464e41c8e2013955e437b6b4fafbd,1000163,5,"geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state"
data\raw\brazilian_ecommerce\olist_orders_dataset.csv,olist_orders_dataset.csv,17654914,8bd60e55c1ca229d9f70b62f3e72f22c,99441,8,"order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date"
data\raw\brazilian_ecommerce\olist_order_items_dataset.csv,olist_order_items_dataset.csv,15438671,f4fa76976662e9cba0633f9e49ed2645,112650,7,"order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value"
data\raw\brazilian_ecommerce\olist_order_payments_dataset.csv,olist_order_payments_dataset.csv,5777138,75ce0c041d18e5f250c5cea9a8042944,103886,5,"order_id,payment_sequential,payment_type,payment_installments,payment_value"
data\raw\brazilian_ecommerce\olist_order_reviews_dataset.csv,olist_order_reviews_dataset.csv,14451670,914066be00d2db0c3d857f071cff1688,104719,7,"review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp"
data\raw\brazilian_ecommerce\olist_products_dataset.csv,olist_products_dataset.csv,2379446,e935401104a3669223b83c9a01fdf5ca,32951,9,"product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm"
data\raw\brazilian_ecommerce\olist_sellers_dataset.csv,olist_sellers_dataset.csv,174703,5b22c02facdf842d6c0aea36e1849018,3095,4,"seller_id,seller_zip_code_prefix,seller_city,seller_state"
data\raw\brazilian_ecommerce\product_category_name_translation.csv,product_category_name_translation.csv,2613,4196d142e8f2b9697521fc50c97f626b,71,2,"product_category_name,product_category_name_english"
data\raw\online_retail\online_retail.xlsx,online_retail.xlsx,23715344,8f8e6d94ba88f976f4d8290cb2dea7fd,,8,"InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country"
data\raw\synthetic\customer_service.csv,customer_service.csv,496069,9e483f7bf9eed079137952440ae10452,6063,7,"ticket_id,customer_id,issue_date,issue_type,resolution_date,satisfaction_score,resolution_time_hours"
data\raw\synthetic\marketing_channels.csv,marketing_channels.csv,8176841,feaaa77c516bc3873fa619e6eb945133,99441,7,"customer_id,acquisition_channel,acquisition_date,acquisition_cost,campaign_id,utm_source,utm_medium"
data\raw\synthetic\marketing_spend.csv,marketing_spend.csv,5881,029c63bc07bb7491a779224b7b727429,150,6,"month_year,channel,spend_amount,impressions,clicks,acquisitions"
