relative_path,filename,rows,n_cols,columns,dtypes,notes
data\raw\brazilian_ecommerce\olist.zip,olist.zip,,,,,skipped (not csv/xlsx)
data\raw\brazilian_ecommerce\olist_customers_dataset.csv,olist_customers_dataset.csv,99441,5,customer_id|customer_unique_id|customer_zip_code_prefix|customer_city|customer_state,customer_id:object|customer_unique_id:object|customer_zip_code_prefix:int64|customer_city:object|customer_state:object,
data\raw\brazilian_ecommerce\olist_geolocation_dataset.csv,olist_geolocation_dataset.csv,1000163,5,geolocation_zip_code_prefix|geolocation_lat|geolocation_lng|geolocation_city|geolocation_state,geolocation_zip_code_prefix:int64|geolocation_lat:float64|geolocation_lng:float64|geolocation_city:object|geolocation_state:object,
data\raw\brazilian_ecommerce\olist_orders_dataset.csv,olist_orders_dataset.csv,99441,8,order_id|customer_id|order_status|order_purchase_timestamp|order_approved_at|order_delivered_carrier_date|order_delivered_customer_date|order_estimated_delivery_date,order_id:object|customer_id:object|order_status:object|order_purchase_timestamp:object|order_approved_at:object|order_delivered_carrier_date:object|order_delivered_customer_date:object|order_estimated_delivery_date:object,
data\raw\brazilian_ecommerce\olist_order_items_dataset.csv,olist_order_items_dataset.csv,112650,7,order_id|order_item_id|product_id|seller_id|shipping_limit_date|price|freight_value,order_id:object|order_item_id:int64|product_id:object|seller_id:object|shipping_limit_date:object|price:float64|freight_value:float64,
data\raw\brazilian_ecommerce\olist_order_payments_dataset.csv,olist_order_payments_dataset.csv,103886,5,order_id|payment_sequential|payment_type|payment_installments|payment_value,order_id:object|payment_sequential:int64|payment_type:object|payment_installments:int64|payment_value:float64,
data\raw\brazilian_ecommerce\olist_order_reviews_dataset.csv,olist_order_reviews_dataset.csv,104719,7,review_id|order_id|review_score|review_comment_title|review_comment_message|review_creation_date|review_answer_timestamp,review_id:object|order_id:object|review_score:int64|review_comment_title:object|review_comment_message:object|review_creation_date:object|review_answer_timestamp:object,
data\raw\brazilian_ecommerce\olist_products_dataset.csv,olist_products_dataset.csv,32951,9,product_id|product_category_name|product_name_lenght|product_description_lenght|product_photos_qty|product_weight_g|product_length_cm|product_height_cm|product_width_cm,product_id:object|product_category_name:object|product_name_lenght:float64|product_description_lenght:float64|product_photos_qty:float64|product_weight_g:int64|product_length_cm:int64|product_height_cm:int64|product_width_cm:int64,
data\raw\brazilian_ecommerce\olist_sellers_dataset.csv,olist_sellers_dataset.csv,3095,4,seller_id|seller_zip_code_prefix|seller_city|seller_state,seller_id:object|seller_zip_code_prefix:int64|seller_city:object|seller_state:object,
data\raw\brazilian_ecommerce\product_category_name_translation.csv,product_category_name_translation.csv,71,2,product_category_name|product_category_name_english,product_category_name:object|product_category_name_english:object,
data\raw\online_retail\online_retail.csv,online_retail.csv,541909,8,InvoiceNo|StockCode|Description|Quantity|InvoiceDate|UnitPrice|CustomerID|Country,InvoiceNo:object|StockCode:object|Description:object|Quantity:int64|InvoiceDate:object|UnitPrice:float64|CustomerID:float64|Country:object,
data\raw\online_retail\online_retail.xlsx,online_retail.xlsx,,8,InvoiceNo|StockCode|Description|Quantity|InvoiceDate|UnitPrice|CustomerID|Country,InvoiceNo:object|StockCode:object|Description:object|Quantity:int64|InvoiceDate:datetime64[ns]|UnitPrice:float64|CustomerID:int64|Country:object,
data\raw\synthetic\customer_service.csv,customer_service.csv,6063,7,ticket_id|customer_id|issue_date|issue_type|resolution_date|satisfaction_score|resolution_time_hours,ticket_id:object|customer_id:object|issue_date:object|issue_type:object|resolution_date:object|satisfaction_score:int64|resolution_time_hours:float64,
data\raw\synthetic\marketing_channels.csv,marketing_channels.csv,99441,7,customer_id|acquisition_channel|acquisition_date|acquisition_cost|campaign_id|utm_source|utm_medium,customer_id:object|acquisition_channel:object|acquisition_date:object|acquisition_cost:float64|campaign_id:object|utm_source:object|utm_medium:object,
data\raw\synthetic\marketing_spend.csv,marketing_spend.csv,150,6,month_year|channel|spend_amount|impressions|clicks|acquisitions,month_year:object|channel:object|spend_amount:float64|impressions:int64|clicks:int64|acquisitions:int64,
